,sp,d,fr,sk,sd,n,seed,dens,disc,mxmin,mnmax,eOpt,covCon,delaunayErrEst0.1,rbfErrEst0.1,gpErrEst0.1,delaunayIntError0.1,rbfIntError0.1,gpIntError0.1,mlpIntErr0.1,delaunayErrEst2.0,rbfErrEst2.0,gpErrEst2.0,delaunayIntError2.0,rbfIntError2.0,gpIntError2.0,mlpIntErr2.0
10,sob,5,0.0,0.0,1.0,256,0,8.0,0.6689747655760492,0.2727098135351151,1.0901314092565062,9.223216659361944,0.9969793857813002,1.200535503760971,0.1404347150260947,0.0096541945914322,0.0244852839848788,3.43507059392123e-05,0.0050080294558226,0.0060266723098166,1.814316754810108,0.1867038346891623,0.19187883176088,0.0832963161782649,0.0402340493304563,0.0419043723769233,0.0244714223666416
11,sob,5,0.0,0.0,1.0,256,1,8.0,0.66943656955018,0.2856827748736409,1.1356941215293486,9.17940956369605,0.9875180382909646,9.5546384754821,0.176846749006739,0.0161946834249943,0.0405158890065844,0.0022859213068637,0.0072877589040981,0.0071004015734918,5.116671821857864,0.155827504854436,0.2306596892776765,0.0965676843725433,0.0422946327647293,0.0220066168622469,0.0174393047611136
12,sob,5,0.0,0.0,1.0,256,2,8.0,0.6690837798907587,0.3304680773907337,1.1148357295360378,9.236731040728388,0.9998099366963252,3.613167997061776,0.1792699774857467,0.0164213487422418,0.0369360407498664,0.0017380546899961,0.0057344894142037,0.0052350034346745,3.590096171396523,0.175404448225595,0.203424270576761,0.106211190541395,0.0447133365923441,0.0297830752052579,0.045333842879658
13,sob,5,0.0,0.0,1.0,256,3,8.0,0.6693932679777506,0.2422042981495434,1.0857311482843444,9.183290058622704,0.9883303293144904,1.8147561230270348,0.1544580352946314,0.0132408389676639,0.0286257502191229,0.0009177847529367,0.004377146328852,0.0095368647646731,127.52964902944746,0.070344560832642,0.3145113155385484,0.0821413686463467,0.0453221844614093,0.0546012377618958,0.0522206121627479
14,sob,5,0.0,0.0,1.0,256,4,8.0,0.6692316072805036,0.3546319060430554,1.0556162236810254,9.183213530535204,0.9883376701753002,2.7083364132914247,0.1571642409570477,0.0091529837749556,0.027650958264028,3.732903255415643e-05,0.0039160695031766,0.0165314426321459,85.49598462323463,0.4753867916558499,0.3451892148554142,0.2705823146971255,0.0563985498042325,0.2039393259327988,0.0892257965645759
15,sob,5,0.0,0.0,1.0,4096,0,128.0,0.6692483109680998,0.1424221460576314,0.6200464408625506,36.950311511993135,0.9999942779704722,3.807008484959344,0.1570833028811916,1.053927699490614e-05,0.0122651010927766,2.526855479373369e-05,2.93080573754434e-07,0.0040687298174162,4.129187863494686,0.2035740127339995,0.0053629412071798,0.0971744120880101,0.0134771159704885,0.0018844570756,0.0012431403337208
16,sob,5,0.0,0.0,1.0,4096,1,128.0,0.6692866044483514,0.1072816085677833,0.6179361573376572,36.94957148810416,0.9999542245931932,1.3923824317798548,0.1572576503404824,1.14247111336815e-05,0.0128254236636431,4.173904785126359e-05,4.894595253546186e-07,0.0047445215542146,7.500715489993839,0.2033083970975971,0.0064824589306187,0.0152088753205487,0.0084069864366398,0.0005787729649811,0.0216857226798105
17,sob,5,0.0,0.0,1.0,4096,2,128.0,0.669255234908769,0.1235651444335146,0.61674226989905,36.95039079590268,0.9999985693149364,1.23678320797164,0.1414236432634024,9.3923146111552e-06,0.0073014502560453,1.1333781638922512e-05,1.4581284013548412e-08,0.0151030448266227,69.64325903596887,0.2151380206420505,0.0167903802295808,0.0273493102458024,0.0120224387480323,0.0011809612101393,0.0131095278914781
18,sob,5,0.0,0.0,1.0,4096,3,128.0,0.6692501207691812,0.1279230025880048,0.6164732980214268,36.95041392450956,0.9999998211859962,3.6040649101178497,0.1333137547154039,8.339210910187167e-06,0.0091454551540244,8.633464309792949e-06,4.395513213961699e-07,0.0027189277881703,156.09731047129293,0.1938850381247105,0.0293777434710037,0.032572125867973,0.0177362013816273,0.0061265032560886,0.0002488253003732
19,sob,5,0.0,0.0,1.0,4096,4,128.0,0.6692481255230116,0.1010752601096024,0.5756096552377071,36.95020579554777,0.999988555973686,5.8398083502833344,0.1753862139323296,1.3218031857545173e-05,0.013559801207468,4.706922683517245e-05,7.028147386289874e-07,0.0087012248744122,184.1618772304145,0.0838876979661777,0.0408167176669915,0.2291502539840655,0.0200993495296096,0.0207447104813391,0.0076244243657762
